Date,CCLClose
2020-01-21,50.689999
2020-01-22,49.880001
2020-01-23,49.450001
2020-01-24,47.520000
2020-01-27,45.270000
2020-01-28,46.500000
2020-01-29,46.500000
2020-01-30,44.750000
2020-01-31,43.529999
2020-02-03,42.750000
2020-02-04,43.560001
2020-02-05,44.139999
2020-02-06,43.779999
2020-02-07,42.200001
2020-02-10,41.779999
2020-02-11,42.950001
2020-02-12,44.060001
2020-02-13,43.200001
2020-02-14,42.599998
2020-02-18,42.919998
2020-02-19,43.340000
2020-02-20,42.500000
2020-02-21,41.689999
2020-02-24,37.759998
2020-02-25,35.840000
2020-02-26,33.139999
2020-02-27,31.850000
2020-02-28,33.459999
