Date,China,South Korea,Italy,Iran,Other (Cruise ship),Japan,Germany,Singapore,France,Hong Kong,United States,Kuwait,Bahrain,Spain,Thailand,Taiwan,United Kingdom,Australia,Malaysia,Switzerland,United Arab Emirates,Canada,Iraq,Norway,Vietnam,Sweden,Netherlands,Austria,Lebanon,Macau,Croatia,Greece,Israel,Finland,Oman,Mexico,Denmark,Pakistan,Azerbaijan,Czech Republic,Georgia,India,Philippines,Qatar,Romania,Brazil,Egypt,Iceland,Indonesia,Russia,Afghanistan,Algeria,Armenia,Belarus,Belgium,Cambodia,Dominican Republic,Ecuador,Estonia,Ireland,Lithuania,Luxembourg,Macedonia,Monaco,Nepal,New Zealand,Nigeria,San Marino,Sri Lanka,Total,Deaths 
2020-01-21,278,1,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,
2020-01-22,309,1,,,,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,17
2020-01-23,571,1,,,,1,,,,1,1,,,,4,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,18
2020-01-24,830,2,,,,1,,1,,2,1,,,,4,1,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846,26
2020-01-25,1287,2,,,,3,,3,3,5,2,,,,4,3,,3,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1320,42
2020-01-26,1975,2,,,,3,,4,3,5,2,,,,5,3,,4,3,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2014,56
2020-01-27,2744,4,,,,4,,4,3,8,5,,,,5,4,,4,4,,,1,,,2,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2798,82
2020-01-28,4515,4,,,,6,1,7,3,8,5,,,,14,7,,5,4,,,2,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,4593,131
2020-01-29,5974,4,,,,7,4,7,4,8,5,,,,14,8,,7,4,,4,3,,,2,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,6065,133
2020-01-30,7711,4,,,,11,4,10,5,10,5,,,,14,8,,7,7,,4,3,,,2,,,,,7,,,,1,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,7818,171
